window_id,start_index,end_index,best_match,dtw_distance,label,similarity_score
U_413,16480,16679,Agg_118,336.84069486085605,Aggressive,0.5770438180441243
U_414,16520,16719,Agg_118,336.6159084017469,Aggressive,0.5772555898226428
U_415,16560,16759,Agg_116,350.7289044685078,Aggressive,0.5641092763557921
U_416,16600,16799,Agg_50,349.1338986398623,Aggressive,0.5655798963463708
U_417,16640,16839,Agg_51,325.1005889393358,Aggressive,0.5882088066391751
U_418,16680,16879,Agg_52,369.54813564700777,Aggressive,0.5470436965295326
U_419,16720,16919,Agg_12,327.08871392565146,Aggressive,0.5863029942024809
U_420,16760,16959,Agg_148,335.41885757922586,Aggressive,0.5783846434599242
U_421,16800,16999,Agg_148,291.8716362234273,Aggressive,0.6209948583596001
U_422,16840,17039,Agg_149,315.08929423774754,Aggressive,0.5979001647444782
U_423,16880,17079,Agg_69,323.3972869899757,Aggressive,0.5898465148211673
U_424,16920,17119,Agg_69,340.64187605347706,Aggressive,0.5734744595385175
U_425,16960,17159,Agg_70,335.6025503811319,Aggressive,0.5782112418010338
U_426,17000,17199,Agg_70,351.78072217687856,Aggressive,0.5631415770843031
U_427,17040,17239,Agg_71,368.18028666513214,Aggressive,0.5482664941054048
U_428,17080,17279,Agg_49,367.9643545038195,Aggressive,0.5484597777223119
U_429,17120,17319,Agg_117,350.24044667221597,Aggressive,0.564559235312831
U_430,17160,17359,Agg_114,345.2451729085114,Aggressive,0.5691814497514376
U_431,17200,17399,Agg_115,330.01625230078287,Aggressive,0.5835078970977844
U_432,17240,17439,Agg_116,324.93743185884983,Aggressive,0.5883654834586407
U_433,17280,17479,Agg_117,339.378548772331,Aggressive,0.5746582839553194
U_434,17320,17519,Agg_116,348.1886978656217,Aggressive,0.5664531945650858
U_435,17360,17559,Agg_31,361.5784034292862,Aggressive,0.5542068326517745
U_436,17400,17599,Agg_52,372.9621194959747,Aggressive,0.5440036278395358
U_437,17440,17639,Agg_68,356.3766569734571,Aggressive,0.5589326357436194
U_438,17480,17679,Agg_69,325.3877681548561,Aggressive,0.5879331349268365
U_439,17520,17719,Agg_152,339.98697216684764,Aggressive,0.5740878447061487
U_440,17560,17759,Agg_49,377.88084311845256,Aggressive,0.5396533061592269
U_441,17600,17799,Agg_170,353.6296012260161,Aggressive,0.5614445828151874
U_442,17640,17839,Agg_169,368.05467377037013,Aggressive,0.5483789235125313
U_443,17680,17879,Agg_31,305.59258195576007,Aggressive,0.6072409189768392
U_444,17720,17919,Agg_32,354.72111794324303,Aggressive,0.5604451354802307
U_445,17760,17959,Agg_150,365.7532176027095,Aggressive,0.5504429199866874
U_446,17800,17999,Agg_71,381.7831666397475,Aggressive,0.5362266927762591
U_447,17840,18039,Agg_168,345.9877230170381,Aggressive,0.5684919679730557
U_448,17880,18079,Agg_169,241.47336515616732,Aggressive,0.6742424044607359
U_449,17920,18119,Agg_169,268.275651435232,Aggressive,0.6453800508696127
U_450,17960,18159,Agg_170,309.1724169690175,Aggressive,0.6037028587186088
U_451,18000,18199,Agg_32,322.0810478169768,Aggressive,0.591115188497591
U_452,18040,18239,Agg_67,330.29759553062985,Aggressive,0.5832399846131688
U_453,18080,18279,Agg_148,332.9404825104238,Aggressive,0.5807292610809818
U_454,18120,18319,Agg_68,326.3382913873833,Aggressive,0.5870216210968223
U_455,18160,18359,Agg_69,318.3640257848178,Aggressive,0.5947126396907239
U_456,18200,18399,Agg_70,341.77559769477335,Aggressive,0.5724141609355896
U_457,18240,18439,Agg_151,350.5740663123373,Aggressive,0.5642518717776943
U_458,18280,18479,Agg_69,345.53876048651796,Aggressive,0.5689087443004268
U_459,18320,18519,Agg_70,345.3761254778155,Aggressive,0.5690597953544513
U_460,18360,18559,Agg_48,357.5845159515198,Aggressive,0.5578317123460361
U_461,18400,18599,Agg_168,355.0512271148028,Aggressive,0.5601432215472466
U_462,18440,18639,Agg_168,270.467160215803,Aggressive,0.643075471589719
U_463,18480,18679,Agg_169,233.42842095367914,Aggressive,0.6831549810144496
U_464,18520,18719,Agg_170,265.0859922473335,Aggressive,0.6487490459130412
U_465,18560,18759,Agg_51,292.849544070073,Aggressive,0.6200043712674521
U_466,18600,18799,Agg_52,325.4398790182146,Aggressive,0.5878831260385778
U_467,18640,18839,Agg_67,327.76510680984944,Aggressive,0.5856560141701779
U_468,18680,18879,Agg_48,300.7190214166808,Aggressive,0.6120909606828441
U_469,18720,18919,Agg_71,329.93765216481887,Aggressive,0.5835827670164648
U_470,18760,18959,Agg_49,330.3544688524971,Aggressive,0.583185841254659
U_471,18800,18999,Agg_50,326.8000889997442,Aggressive,0.5865792858277253
U_472,18840,19039,Agg_51,330.5393617298733,Aggressive,0.5830098581062715
U_473,18880,19079,Agg_52,324.03758323881823,Aggressive,0.5892303420501251
U_474,18920,19119,Agg_67,355.55779337961553,Aggressive,0.5596802383062954
U_475,18960,19159,Agg_169,372.48641684079087,Aggressive,0.5444262141887031
U_476,19000,19199,Agg_52,349.3749891931745,Aggressive,0.5653573614265035
U_477,19040,19239,Agg_52,336.028908677292,Aggressive,0.57780896999298
U_478,19080,19279,Agg_67,311.93791421109376,Aggressive,0.6009837532968862
U_479,19120,19319,Agg_69,334.7279614278055,Aggressive,0.5790372988191969
U_480,19160,19359,Agg_149,337.79601036574775,Aggressive,0.5761446797178508
U_481,19200,19399,Agg_48,329.87216736530837,Aggressive,0.5836451513641348
U_482,19240,19439,Agg_71,317.5421703291332,Aggressive,0.5955110082430723
U_483,19280,19479,Agg_168,265.0724017355452,Aggressive,0.6487634381011397
U_484,19320,19519,Agg_169,234.79140240349244,Aggressive,0.6816367578246035
U_485,19360,19559,Agg_170,284.1842884209282,Aggressive,0.6288364041930411
U_486,19400,19599,Agg_52,344.0058331803018,Aggressive,0.5703340798110806
U_487,19440,19639,Agg_33,325.26349250869583,Aggressive,0.5880524148864451
U_488,19480,19679,Agg_70,328.1588514449902,Aggressive,0.585279720282291
U_489,19520,19719,Agg_48,348.9976397779943,Aggressive,0.5657057067295975
U_490,19560,19759,Agg_168,303.2116259069239,Aggressive,0.6096055647556933
U_491,19600,19799,Agg_169,262.87365383206367,Aggressive,0.6510960950033273
U_492,19640,19839,Agg_170,282.2598598972593,Aggressive,0.6308148822249948
U_493,19680,19879,Agg_51,325.1807889611795,Aggressive,0.5881318072912686
U_494,19720,19919,Agg_32,330.56119680134617,Aggressive,0.5829890787426983
U_495,19760,19959,Agg_6,299.29142935684894,Aggressive,0.6135189852323881
U_496,19800,19999,Agg_71,403.3943415793936,Aggressive,0.5176401525600632
U_497,19840,20039,Agg_6,420.2382218204491,Aggressive,0.5036015844907753
U_498,19880,20079,Agg_23,404.56344251613797,Aggressive,0.5166532481263632
U_499,19920,20119,Agg_49,385.08818438485633,Aggressive,0.5333415937163262
U_500,19960,20159,Agg_49,362.1163118057407,Aggressive,0.5537204265695744
U_501,20000,20199,Agg_117,368.58083501571633,Aggressive,0.547908138543437
U_502,20040,20239,Agg_118,360.487622714807,Aggressive,0.5551944881467856
U_503,20080,20279,Agg_6,332.9811152169843,Aggressive,0.5806907447842402
U_504,20120,20319,Agg_169,355.8790193327834,Aggressive,0.5593868476972514
U_505,20160,20359,Agg_171,368.1303688030355,Aggressive,0.5483111701629906
U_506,20200,20399,Agg_8,388.8710926488694,Aggressive,0.5300583695148321
U_507,20240,20439,Agg_10,372.537540572089,Aggressive,0.5443807831238565
U_508,20280,20479,Agg_10,380.0580193543076,Aggressive,0.53773884567987
U_509,20320,20519,Agg_168,356.2842590382771,Aggressive,0.5590169428049683
U_510,20360,20559,Agg_169,283.3948078249793,Aggressive,0.6296473063738847
U_511,20400,20599,Agg_170,276.41021616424825,Aggressive,0.6368671190088616
U_512,20440,20639,Agg_171,326.8280152531107,Aggressive,0.586552547209334
U_513,20480,20679,Agg_23,370.2810235088362,Aggressive,0.5463896490732826
U_514,20520,20719,Agg_12,356.01905731011834,Aggressive,0.5592589926405435
U_515,20560,20759,Agg_25,339.5440241024988,Aggressive,0.5745030832321021
U_516,20600,20799,Agg_26,323.0606317282256,Aggressive,0.5901707448426234
U_517,20640,20839,Agg_27,323.78819898243273,Aggressive,0.5894702540659746
