window_id,start_index,end_index,mean_speed,max_speed,min_speed,std_speed,mean_accel,max_accel,min_accel,std_accel,mean_jerk,max_jerk,std_jerk,gyro_x_std,gyro_y_std,gyro_z_std,aggression_score_template
Agg_169,6720,6919,14.584577860221705,23.88831577148215,1.372046910401312,7.44371360710835,0.8843778427407242,10.41561958054884,-10.41561958054884,1.7565247500230596,-0.25263041679801523,364.1085741981898,54.31226366825395,0.2003526374232036,0.5157279645164725,0.3719899852402599,0.33002953346210634
Agg_168,6680,6879,19.426712740995526,28.42868054098728,3.91899339427318,6.516895856348464,1.0881075494566186,10.41561958054884,-10.41561958054884,1.5767751646293926,0.18836866018131446,364.1085741981898,51.83387820368125,0.18832461829332053,0.49610655992679964,0.3545046087996967,0.32834693472729454
Agg_68,2680,2879,40.14606960708327,47.03675790386861,33.93146090711439,4.169054395094991,-0.4593761744225131,7.182892713889283,-4.819727573346381,1.2668703503642034,0.242055576200176,456.46983596913213,62.66957613963709,0.3342066484539916,0.27277396726503134,0.1786163734505159,0.2774023062202274
Agg_69,2720,2919,42.6355449884384,47.03675790386861,36.6891617757569,3.626549275724207,-0.09587466373519944,7.182892713889283,-4.819727573346381,1.3561284581527013,0.3177706669569009,456.46983596913213,62.28962383060287,0.3371570243589201,0.27392809044191163,0.1763138302792678,0.2771807349981287
Agg_70,2760,2959,44.22937969452743,47.03675790386861,39.83755295599234,2.382241716637405,0.2592030399073284,7.182892713889283,-4.819727573346381,1.3742862385913024,0.6331492411753022,456.46983596913213,62.245544667274075,0.33895194708371007,0.2743998974502556,0.1750959901044647,0.27706354356423
Agg_67,2640,2839,37.695855288469346,45.32766290326098,33.22733696966513,3.8310466440288407,-0.6756644062719712,7.182892713889283,-4.819727573346381,1.157846582109193,0.18884101136814033,456.46983596913213,61.58385714516464,0.3268636299794919,0.256784496478425,0.17292359065935417,0.2768544959311823
Agg_71,2800,2999,44.78874591696515,47.03675790386861,40.54860291598617,1.5829069284733994,0.6175332855318468,7.182892713889283,-4.819727573346381,1.3583808547208818,0.3897859119219771,456.46983596913213,62.60941627298178,0.3275338072856729,0.27419993560051564,0.1619871532613101,0.27580209446920356
Agg_48,1880,2079,38.318460142432684,41.36428364850203,34.225965274223945,2.0997615298893044,0.7916508101068337,7.151528867489603,-7.151528867489603,1.5445044254116547,0.0894649564168251,390.53295802722187,62.339445585447564,0.24541741402077474,0.1785171623922326,0.22031677372434974,0.25555365407234254
Agg_49,1920,2119,38.02263879036416,41.36428364850203,33.73649565081013,2.504882108443502,0.9076813362666135,7.151528867489603,-7.151528867489603,1.4526325691884583,0.36421170394396396,390.53295802722187,61.163772083599476,0.214917199550628,0.17712867964640094,0.20726832989377453,0.2542980165311538
Agg_52,2040,2239,36.41692289047664,41.57003342227313,33.73649565081013,2.247633406786184,-0.0534643203309529,7.151528867489603,-7.151528867489603,1.3668695769133612,-0.44730237348971813,390.53295802722187,65.2784643740486,0.19855702068186915,0.1794742993299454,0.19626611723072782,0.2532392855870474
Agg_51,2000,2199,36.69485584772154,41.36428364850203,33.73649565081013,2.6808082416736063,0.44462316678412234,7.151528867489603,-7.151528867489603,1.5335768162957808,-0.5325233799042149,390.53295802722187,66.29647715319562,0.2026569137370192,0.17850933898616692,0.18818589785427786,0.25246173487511214
Agg_50,1960,2159,37.31940883748786,41.36428364850203,33.73649565081013,2.969009339609951,0.8785364677877685,7.151528867489603,-7.151528867489603,1.5096255428799132,-0.01754723171192623,390.53295802722187,64.52008531924591,0.21380903858663058,0.17582037712318535,0.17665710330485251,0.25135233152948167
Agg_26,1000,1199,37.46556027598149,38.91600151056427,35.42400054927428,1.2859011334418804,0.459141073372127,5.905021890569616,-4.603285728008009,1.1763480414045755,0.10258431545326943,286.1486717708565,52.02576115487384,0.243370477960962,0.18541213912349902,0.23905614034272635,0.19075782416609025
Agg_25,960,1159,36.85284029383665,38.41200027460452,35.42400054927428,1.3777176081747924,0.21961084109392512,5.905021890569616,-4.603285728008009,1.0822366785770348,-0.027287172131779728,286.1486717708565,58.57504019307887,0.3074737176985426,0.2068281187179987,0.21630881159484655,0.18856887349055662
Agg_27,1040,1239,38.142360488838925,38.916001510564286,36.14399986262617,0.9232744564051782,0.7354799024908023,5.905021890569616,-4.603285728008009,1.206081133158138,0.3012116670514999,286.1486717708565,52.849954258193016,0.24702546816570078,0.18757082590763788,0.2086755467207949,0.1878343327236923
Agg_24,920,1119,36.738720325422804,38.41200027460452,35.42400054927428,1.3349287681293645,0.20448151941125253,5.905021890569616,-4.603285728008009,1.027550654759268,-0.0412771603808712,286.1486717708565,53.391883356965955,0.31749021406798655,0.1970570844827303,0.20085908039462014,0.1870821626805807
Agg_23,880,1079,36.70992035288875,38.41200027460449,35.42400054927428,1.2994245198660215,0.37448958880956057,5.905021890569616,-4.603285728008009,1.0631075470703755,0.028161384815996903,286.1486717708565,52.91407664679642,0.2952704746316155,0.19639446932058474,0.19498605531590188,0.18651700787247233
Agg_148,5880,6079,39.529838581262375,45.75221172630088,33.52805965741425,3.705092811340515,-0.2616856156505831,4.543890975248714,-2.6271133009380465,0.8967315649414347,0.5226862654544133,201.32497302908354,45.17939289170411,0.19287581274918608,0.12533888351811703,0.14625215466755673,0.1202435001323434
Agg_152,6040,6239,45.53887160903507,46.50847728739117,44.13231287438998,0.7383277822216215,0.7092556049074237,4.543890975248714,-1.612735487826632,0.7287053192738093,0.16486319054735943,201.32497302908354,38.00390553265303,0.24300618123969644,0.1405024205791514,0.14034814644031932,0.11967536384959099
Agg_149,5920,6119,41.89200966281513,46.50847728739117,37.03963629265694,3.14455427036845,0.001976925376313261,4.543890975248714,-2.6271133009380465,0.910949823000127,0.40849178035826017,201.32497302908354,45.06700374234131,0.2141433013081273,0.1425638141750754,0.1352705628060857,0.11918675350551838
Agg_151,6000,6199,44.88014608574131,46.50847728739117,41.7250097879758,1.6218271019732688,0.5233885124760882,4.543890975248714,-1.612735487826632,0.8228086592718593,-0.012072434652154058,201.32497302908354,39.69699871594096,0.23026756352730027,0.14113463375244542,0.12925469515306864,0.11860785311202844
Agg_150,5960,6159,43.69170440317717,46.50847728739117,39.39055148354189,2.552714613211618,0.271791234639796,4.543890975248714,-1.612735487826632,0.8652487300500338,0.05175149330132179,201.32497302908354,39.804328339047004,0.20867809503101883,0.1413866638647535,0.11894583437427271,0.11761584266474326
Agg_107,4240,4439,44.70165713653922,47.06466396482312,40.586205910491074,1.9200620178570191,0.3907953236314296,3.884919958877551,-3.884919958877551,0.9144989222751344,0.5091842725993899,214.00167305239657,45.53911762667183,0.20311317711833646,0.21404931094661206,0.1277792033459118,0.10918166564556381
