time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1781099278788330800,42.22833081054687,3.12822671143885,-0.9690694749266591,-0.20455565429248265,-2.7273922525122334,0.13359669174728125,0.03483397293508577,-0.2766971490354811
1781099278813407000,42.25340698242187,3.128509868849591,-0.96933362181246,-0.20322105419218262,-2.730101592302928,0.13379312414662275,0.0345407749715521,-0.2769458664759622
1781099278838483000,42.27848291015625,3.1277150292799343,-0.9697099773398093,-0.20120941244246032,-2.7343483164404483,0.13406455157471048,0.034699193753439724,-0.2775196793742544
1781099278863558000,42.30355786132812,3.126899343799708,-0.9701336441055614,-0.199035287043764,-2.7389374946529044,0.13421393849767402,0.034817867213210084,-0.27783142842079955
1781099278888633900,42.3286337890625,3.1269288646579927,-0.9705678695039072,-0.19690575538545096,-2.7433225770573757,0.13429581071547042,0.03450978643795875,-0.27783752837739983
1781099278913708800,42.353708740234374,3.1268866317905024,-0.9710868800916117,-0.1945406385270801,-2.748213135474115,0.13408368766565137,0.03414391896903163,-0.27723635388273216
1781099278938784800,42.37878466796875,3.126871291605036,-0.9716343996584637,-0.19223690813474,-2.752984165790761,0.13354866503190924,0.03371112404692782,-0.27597170133442556
1781099278963861000,42.403861083984374,3.1271597139559018,-0.9721837199258286,-0.19033330834500148,-2.756911053031715,0.13243131728231114,0.03307412699656103,-0.27348168235821557
1781099278988936400,42.4289365234375,3.1284287988679096,-0.9724117651300317,-0.18977183232904388,-2.757926191605811,0.13176841768537176,0.03223530131729919,-0.27183657527892124
1781099279014012400,42.45401245117188,3.1299147590720993,-0.9724712171400832,-0.18965818507780602,-2.7579682540591235,0.13167908020525115,0.031465371695298054,-0.27136170576356056
1781099279039088400,42.47908837890625,3.1301806009972473,-0.9726210286635454,-0.18942130108044156,-2.75845040419351,0.13098336577551623,0.031163656860210914,-0.2698641155770284
1781099279064163300,42.50416333007813,3.129313759644444,-0.9732251277556286,-0.18789048132288694,-2.761804520254762,0.12873501316536853,0.030941020965097682,-0.26530472719196824
