time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781099250999926300,14.43992626953125,4.396638120524585,0.7185619110415831,12.712657666181673,23.063838435482257,59.55786248575896,34.10157231673627,21.767766507461456,3.0000000000197207,72.65246693621673,4.579999923704865
1781099251999922700,15.439922607421876,4.2848538449034095,0.7185619110414007,9.040989227305051,23.06390371498848,59.446078210137784,31.28907528654701,21.767766507458795,3.0000000000390092,72.65250594903856,6.440000057217152
1781099252999917600,16.43991748046875,4.195255220867693,0.7185619110412894,7.92162882947514,23.063959506202146,59.35647958610207,36.5625167385382,21.767766507457175,3.0000000000507625,72.65255895214787,7.349999904627657
1781099253999913200,17.439913330078124,4.273047313094139,0.7185619110409751,7.2589745186802395,23.06403126987149,59.434271678328514,49.28315353393555,21.767766507452595,3.0000000000839906,72.65263554976585,9.460000038136513
1781099254999912200,18.439912109375,3.9833150170743465,0.7185619110407961,7.258974518679589,23.064088753643865,59.14453938230872,49.28315353393555,21.767766507449988,3.000000000102909,72.65272565562616,10.479999542222131
1781099255999905500,19.439905517578126,3.9522476457059383,0.7185619110408508,7.258974518679475,23.064108250838807,59.11347201094031,66.42384338378906,21.767766507450784,3.000000000097152,72.65282339864879,10.18999958037027
1781099256999901000,20.43990087890625,3.646095773205161,1.499999999997971,11.597586640282765,23.064146316580942,58.807320138439536,66.42384338378906,21.76776650745001,3.0000000001027605,72.65291766684658,10.479999542222151
1781099257999896000,21.43989599609375,3.702278888784349,0.7185619110407704,7.258974518679254,23.06413091303234,58.863503254018724,88.22533416748047,21.767766507449615,3.000000000105635,72.65302764523983,10.64000034330796
1781099258999893500,22.4398935546875,3.8326804805547,0.7185619110407726,7.258974518680133,23.064133964545537,58.993904845789075,88.22533416748047,21.767766507449647,3.0000000001054077,72.65313408202753,10.630000114426169
1781099259999888000,23.439887939453126,3.6684959102422,0.7185619110407726,7.2589745186766885,23.06414284082033,58.829720275476575,92.99419403076172,21.767766507449647,3.0000000001054157,72.65322756646741,10.63000011442617
1781099260999883800,24.4398837890625,3.581214371137321,0.7185619110409152,7.2589745186702155,23.064131159793213,58.742438736371696,92.99419403076172,21.76776650745172,3.0000000000903397,72.65330959139357,9.84000015257619
1781099261999879400,25.43987939453125,3.8625559248030186,0.7185619110409152,7.258974518679324,23.064125024351682,59.023780290037394,100.44855499267578,21.767766507451725,3.000000000090333,72.65340393917411,9.84000015257619
1781099262999876000,26.4398759765625,3.985938800498843,0.7599999904623163,7.258974518679286,23.06410268049538,59.14716316573322,100.44855499267578,21.767766507451213,3.00000000009403,72.65350142180326,10.039999961840602
1781099263999872300,27.439872314453126,3.9979027155786753,0.7185619110407647,7.258974518679683,23.06407320916274,59.15912708081305,108.5245361328125,21.767766507449533,3.0000000001062435,72.65360589243362,10.670000076279024
1781099264999867400,28.439867431640625,4.096993290819228,1.2599999904614954,9.568497539779715,23.06404823276832,59.2582176560536,107.02877807617188,21.767766507449537,3.0000000001062,72.65368985150195,10.670000076279031
1781099265999863600,29.439863525390624,3.360268441028893,1.080000042913833,8.201569707788682,23.06401882391856,58.52149280626327,107.02877807617188,21.767766507449526,3.0000000001062976,72.65379362088947,10.670000076279015
1781099266999859500,30.439859375,3.9477320536971092,0.759999990462166,7.258974518679393,23.064007620867258,59.108956418931484,93.83546447753906,21.767766507449146,3.0000000001090394,72.65391560333055,10.810000419601186
1781099267999855600,31.439855712890626,4.101510128006339,1.1000000238402798,8.24526491873927,23.064030701241943,59.262734493240714,83.18762969970703,21.767766507449153,3.0000000001090075,72.65401958306651,10.81000041960119
1781099268999851800,32.439851806640625,3.2884354377165437,1.275603304324459,10.355942282727685,23.064084949803078,58.44965980295092,69.15205383300781,14.245954780552447,8.141959442976496,72.65410815609353,9.980668921777124
1781099269999847400,33.43984741210937,3.051406211219728,1.2716229170871576,10.613807049573557,23.064182956287944,58.2126305764541,53.44373799186591,14.245954724114302,8.192471843993275,72.65416294390117,9.70787555347818
1781099270999843000,34.43984301757813,3.1986276898533106,1.2721435958755791,9.97566996869906,23.064272453629613,58.359852055087686,40.23839537749861,14.24595474522845,8.050350687205764,72.6542183233798,10.333087323389787
1781099271999839200,35.439839111328126,2.6618019118905067,1.2703296717314518,9.3926997029761,23.064367988022976,57.82302627712488,32.63026714025846,14.245954752207393,7.884934511708419,72.65426784206682,10.958808413131848
